cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,id_region,region,cve_geo,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4575954,ACADEMIA DE DANZA LUMANHIA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.99274543,-89.62696038,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4582457,ACADEMIA DE DANZA MALEHINEL,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.97889863,-89.66214244,2010-07
31,Yucatán       ,093,Tixkokob,Tixkokob,2,II Noroeste ,31093,1,Tixkokob,4486031,ACADEMIA DE DANZA MARIANA,,611611,Escuelas de arte del sector privado,6 a 10 personas,21.00233224,-89.39637294,2010-07
31,Yucatán       ,059,Progreso,Progreso,2,II Noroeste ,31059,1,Progreso,7606583,ACADEMIA DE DANZA MARLIN DE LA CRUZ,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.28412035,-89.64511686,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4521363,ACADEMIA DE DANZA MOLUKAI,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.97838884,-89.63701745,2014-12
31,Yucatán       ,101,Uman,Uman,2,II Noroeste ,31101,1,Uman,9034137,ACADEMIA DE DANZA NATALIA MAKARAVA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.91682482,-89.69804928,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4582641,ACADEMIA DE DANZA NINA SHESTAKOBA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.97047701,-89.67247674,2010-07
31,Yucatán       ,059,Progreso,Progreso,2,II Noroeste ,31059,1,Progreso,4574683,ACADEMIA DE DANZA NO.6 LUPITA GONZALEZ,,611611,Escuelas de arte del sector privado,6 a 10 personas,21.28558693,-89.65967657,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8647055,ACADEMIA DE DANZA NUE NUE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.99184591,-89.54224618,2019-11
31,Yucatán       ,093,Tixkokob,Tixkokob,2,II Noroeste ,31093,1,Tixkokob,4510772,ACADEMIA DE DANZA NUREYEV,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.00128894,-89.39259542,2010-07
