cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,102,Valladolid,Valladolid,31102,6,VI Oriente,1,Valladolid,4544195,COMBUSTIBLES DEL SUROESTE,COMBUSTIBLES DE SUROESTE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.68944297,-88.18915799,2014-12
31,Yucatán       ,059,Progreso,Progreso,31059,2,II Noroeste ,1,Progreso,6886554,COMBUSTIBLES E IMAGEN,COMBUSTIBLES E IMAGEN SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,21.27546926,-89.70128906,2019-04
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6885520,COMBUSTIBLES E IMAGEN,COMBUSTIBLES E IMAGEN SA DE CV,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,21.00771153,-89.62372733,2019-04
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,7976973,COMBUSTIBLES PENINSULARES DEL SURESTE SA DE CV,COMBUSTIBLES PENINSULARES DEL SURESTE SA DE CV,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,20.9808635,-89.61910407,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8208317,"COMBUSTIBLES PLAZA FIESTA, S.A. DE C.V.",COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.00768028,-89.59058934,2019-11
31,Yucatán       ,028,Dzilam de Bravo,Dzilam de Bravo,31028,4,IV Litoral centro ,1,Dzilam de Bravo,6859900,COMBUSTIBLES PUERTO DE ABRIGO DZILAM DE BRAVO,COMBUSTIBLES PUERTO DE ABRIGO DZILAM DE BRAVO SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,21.39406944,-88.88595278,2019-04
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6414429,"COMBUSTIBLES Y LUBRICANTES AVILA CAMACHO, S.A. DE C.V.",COMBUSTIBLES Y LUBRICANTES AVILA CAMACHO SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.97435628,-89.58571601,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6413694,COMBUSTIBLES Y LUBRICANTES DEL MAYAB,COMBUSTIBLES Y LUBRICANTES DEL MAYAB SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.99015881,-89.64901962,2010-07
31,Yucatán       ,038,Hunucma,Hunucmá,31038,1,I Poniente ,164,San Fernando,6799574,COMBUSTIBLES Y LUBRICANTES HUNUCMA,COMBUSTIBLES Y LUBRICANTES HUNUCMA SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.98005457,-89.8522574,2017-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4496602,COMBUSTIBLES Y LUBRICANTES MARIA LUISA,COMBUSTIBLE Y LUBRICANTES MARIA LUISA SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.93668252,-89.6044513,2010-07
31,Yucatán       ,059,Progreso,Progreso,31059,2,II Noroeste ,5,Chuburná,4573270,COMBUSTIBLES Y LUBRICANTES NARAHI,,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,21.2517142,-89.81765887,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280248,COMBUSTIBLES Y LUBRICANTES POLIFORUM,COMBUSTIBLES Y LUBRICANTES POLIFORUM SA DE CV,468411,Comercio al por menor de gasolina y diesel,31 a 50 personas,20.94453982,-89.59260497,2010-07
31,Yucatán       ,038,Hunucma,Hunucmá,31038,1,I Poniente ,4,Sisal,8634771,COMERCIO AL POR MENOR DE GASOLINA Y DIÉSEL,,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,21.16336021,-90.03137671,2019-11
31,Yucatán       ,070,Sucila,Sucilá,31070,5,V Noreste ,1,Sucilá,6875379,COMERCIO AL POR MENOR DE GASOLINA Y DIÉSEL,,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.15085133,-88.31833739,2019-04
31,Yucatán       ,083,Telchac Puerto,Telchac Puerto,31083,4,IV Litoral centro ,25,Santa Isabel,8673539,COMERCIO AL POR MENOR DE GASOLINA Y DIÉSEL,,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,21.33995749,-89.28994304,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4575979,COMERCIO AL POR MENOR DE GASOLINA Y DIÉSEL,,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,21.00067365,-89.62193123,2010-07
31,Yucatán       ,101,Uman,Umán,31101,2,II Noroeste ,268,Efraín Lugo Galván [Gasolinera],8700164,COMERCIO AL POR MENOR DE GASOLINA Y DIÉSEL,,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,20.87825926,-89.77332611,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4593248,COMERCIO AL POR MENOR DE GASOLINA Y DIÉSEL,GASOCOCOS SA DE CV,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,20.94443059,-89.62784585,2010-07
31,Yucatán       ,101,Uman,Umán,31101,2,II Noroeste ,1,Umán,4560396,COMERCIO AL POR MENOR DE GASOLINA Y DIÉSEL,,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.89262872,-89.73695914,2014-12
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,9289905,COMERCIO DE CUPONES DE GASOLINA,COMERCIALIZADORA LAMOL SA DE CV,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,20.99165411,-89.62748061,2020-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4508901,CORPORACIÓN LA COMPLETA,CORPORACIÓN LA COMPLETA SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.02254108,-89.66003049,2012-06
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6877779,CORPORATIVO GASOLINERO DEL CARIBE  CANEK,CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.97717022,-89.64334035,2019-04
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8683340,CORPORATIVO GASOLINERO DEL CARIBE CAUCEL,CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.99776963,-89.67662077,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8853711,CORPORATIVO GASOLINERO DEL CARIBE DZITYA,CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.05802197,-89.6425703,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6874410,CORPORATIVO GASOLINERO DEL CARIBE MELITON,CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.94925823,-89.63693404,2019-04
31,Yucatán       ,052,Motul,Motul,31052,4,IV Litoral centro ,1,Motul de Carrillo Puerto,6874149,CORPORATIVO GASOLINERO DEL CARIBE MOTUL,CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,21.11450244,-89.28206623,2019-04
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6874549,CORPORATIVO GASOLINERO DEL CARIBE SODZIL,CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.04466281,-89.61560428,2019-04
31,Yucatán       ,101,Uman,Umán,31101,2,II Noroeste ,1,Umán,8764776,"CORPORATIVO GASOLINERO DEL CARIBE, S.A. DE C.V.",CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.91876351,-89.70042176,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8853713,"CORPORATIVO GASOLINERO DEL CARIBE, S.A. DE C.V.",CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.92682711,-89.5990371,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8208280,"CORPORATIVO GASOLINERO DEL CARIBE, S.A. DE C.V.",CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.02625805,-89.63570023,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8853712,"CORPORATIVO GASOLINERO DEL CARIBE, S.A. DE C.V.",CORPORATIVO GASOLINERO DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.95937646,-89.67603935,2019-11
31,Yucatán       ,038,Hunucma,Hunucmá,31038,1,I Poniente ,164,San Fernando,6861281,CR PETROQUÍMICA DE YUCATAN S.A. DE C.V,CR PETROQUIMICA DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.98018973,-89.85246873,2019-04
31,Yucatán       ,059,Progreso,Progreso,31059,2,II Noroeste ,1,Progreso,4573682,DIESEL YUCALPETEN,,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,21.27411915,-89.70525215,2010-07
31,Yucatán       ,080,Tekit,Tekit,31080,7,VII Sur ,1,Tekit,4556389,EL PASO,,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,20.53624213,-89.33572092,2014-12
